0.35, 0.85
0.25, 0.78
0.42, 0.78
0.19, 0.72
0.31, 0.72
0.42, 0.72
0.52, 0.72
0.12, 0.67
0.47, 0.67
0.58, 0.67
0.03, 0.60
0.20, 0.60
0.32, 0.60
0.42, 0.60
0.55, 0.50
0.75, 0.50
0.12, 0.45
0.32, 0.45
0.07, 0.38
0.45, 0.38
0.625, 0.39
0.85, 0.39
0.125, 0.31
0.25, 0.31
0.36, 0.23
0.55, 0.23
0.74, 0.23
2.07, 0.59
2.12, 0.59
2.23, 0.59
2.28, 0.59
2.33, 0.59
2.47, 0.59
2.53, 0.59
2.73, 0.59
2.88, 0.59
3.41, 0.59
3.59, 0.59
4.14, 0.59
5.05, 0.78
4.91, 0.73
5.20, 0.73
5.049, 0.65
4.85, 0.58
4.91, 0.58
5.13, 0.58
5.19, 0.58
4.99, 0.48
5.04, 0.48
4.93, 0.41
5.11, 0.41
5.05, 0.35
